-	-	.DS_Store
265	0	backend/app/api/routes/controllers_crud.py
149	111	backend/app/api/routes/crops.py
202	0	backend/app/api/routes/fan_groups.py
387	60	backend/app/api/routes/greenhouses.py
0	124	backend/app/api/routes/login.py
198	0	backend/app/api/routes/meta.py
229	0	backend/app/api/routes/observations.py
420	0	backend/app/api/routes/onboarding.py
397	0	backend/app/api/routes/plans.py
93	0	backend/app/api/routes/sensor_zone_maps.py
106	36	backend/app/api/routes/sensors.py
165	0	backend/app/api/routes/state_machine.py
775	0	backend/app/api/routes/telemetry.py
62	13	backend/app/api/routes/users.py
185	0	backend/app/api/routes/zone_crops.py
84	63	backend/app/api/routes/zones.py
243	0	backend/app/api/routes/zones_crud.py
2	2	backend/app/core/config.py
442	0	backend/app/core/config_build.py
7	1	backend/app/core/db.py
155	0	backend/app/core/rate_limit.py
60	0	backend/app/core/security.py
114	0	backend/app/core/upload.py
4	0	backend/app/crud/__init__.py
112	0	backend/app/crud/actuator.py
2	2	backend/app/crud/auth.py
116	0	backend/app/crud/buttons.py
0	121	backend/app/crud/climate.py
97	8	backend/app/crud/controller.py
37	8	backend/app/crud/crop.py
164	0	backend/app/crud/fan_groups.py
101	13	backend/app/crud/greenhouses.py
200	0	backend/app/crud/idempotency.py
244	0	backend/app/crud/observation.py
75	0	backend/app/crud/sensor_zone_map.py
179	84	backend/app/crud/sensors.py
419	0	backend/app/crud/state_machine.py
84	8	backend/app/crud/zone.py
215	0	backend/app/crud/zone_crop.py
26	6	backend/app/debug_verify.py
350	3	backend/app/initial_data.py
151	2	backend/app/main.py
0	434	backend/app/models.py
120	0	backend/app/models/__init__.py
216	0	backend/app/models/actuators.py
114	0	backend/app/models/auth.py
391	0	backend/app/models/config.py
191	0	backend/app/models/controllers.py
202	0	backend/app/models/crops.py
112	0	backend/app/models/enums.py
400	0	backend/app/models/greenhouses.py
124	0	backend/app/models/links.py
94	0	backend/app/models/sensors.py
187	0	backend/app/models/state_machine.py
178	0	backend/app/models/telemetry.py
81	0	backend/app/models/users.py
306	0	backend/app/tests/api/routes/test_actuators.py
483	0	backend/app/tests/api/routes/test_auth.py
300	0	backend/app/tests/api/routes/test_buttons.py
299	0	backend/app/tests/api/routes/test_config.py
402	0	backend/app/tests/api/routes/test_controllers.py
845	0	backend/app/tests/api/routes/test_crops.py
411	0	backend/app/tests/api/routes/test_crud.py
270	0	backend/app/tests/api/routes/test_fan_groups.py
556	0	backend/app/tests/api/routes/test_greenhouses.py
0	164	backend/app/tests/api/routes/test_items.py
0	118	backend/app/tests/api/routes/test_login.py
225	0	backend/app/tests/api/routes/test_meta.py
886	0	backend/app/tests/api/routes/test_observations.py
385	0	backend/app/tests/api/routes/test_onboarding.py
245	0	backend/app/tests/api/routes/test_onboarding_fixed.py
400	0	backend/app/tests/api/routes/test_plans.py
0	26	backend/app/tests/api/routes/test_private.py
339	0	backend/app/tests/api/routes/test_sensor_zone_maps.py
395	0	backend/app/tests/api/routes/test_sensors.py
443	0	backend/app/tests/api/routes/test_state_machine.py
690	0	backend/app/tests/api/routes/test_telemetry.py
414	0	backend/app/tests/api/routes/test_telemetry_advanced.py
0	486	backend/app/tests/api/routes/test_users.py
399	0	backend/app/tests/api/routes/test_zone_crops.py
279	0	backend/app/tests/api/routes/test_zones.py
203	0	backend/app/tests/api/test_h4_simple.py
524	0	backend/app/tests/api/test_observations_h4.py
470	0	backend/app/tests/api/test_observations_h4_fixed.py
179	4	backend/app/tests/conftest.py
1361	0	backend/app/tests/integration/end_to_end.py
1274	0	backend/app/tests/integration/test_complete_end_to_end.py
2263	0	backend/app/tests/integration/test_complete_end_to_end_v2.py
614	0	backend/app/tests/integration/test_comprehensive_crud_operations.py
551	0	backend/app/tests/integration/test_crud_runner.py
407	0	backend/app/tests/integration/test_live_auth_api.py
815	0	backend/app/tests/integration/test_live_comprehensive_api.py
571	0	backend/app/tests/integration/test_live_config_plan_api.py
814	0	backend/app/tests/integration/test_live_crud_api.py
541	0	backend/app/tests/integration/test_live_onboarding_api.py
610	0	backend/app/tests/integration/test_live_telemetry_api.py
239	0	backend/app/tests/integration/test_pagination_comprehensive.py
251	0	backend/app/tests/test_controller_schema.py
67	0	backend/app/tests/test_controller_validation.py
242	0	backend/app/tests/test_created_at_sorting.py
165	0	backend/app/tests/test_fk_constraints_real_db.py
126	0	backend/app/tests/test_foreign_key_cascades.py
142	0	backend/app/tests/test_idempotency_constraint.py
36	0	backend/app/tests/test_mapper_startup.py
96	0	backend/app/tests/test_model_enum_usage.py
228	0	backend/app/tests/test_state_machine_spec.py
134	0	backend/app/tests/test_unclaimed_controller_filtering.py
742	0	backend/app/tests/unit/test_api_code_paths_comprehensive.py
550	0	backend/app/tests/unit/test_database_concurrency.py
568	0	backend/app/tests/unit/test_input_validation_comprehensive.py
160	0	backend/app/tests/utils/alembic_test.py
5	5	backend/app/tests/utils/user.py
52	0	backend/app/utils/__init__.py
126	0	backend/app/utils/legacy.py
334	0	backend/app/utils/log.py
83	0	backend/app/utils/logging_deps.py
105	0	backend/app/utils/logging_middleware.py
162	0	backend/app/utils_errors.py
157	0	backend/app/utils_paging.py
63	0	backend/app/utils_request_id.py
141	0	backend/phase_b_expert_review_summary.py
9	5	backend/pyproject.toml
155	0	backend/test_enum_fixes.py
209	0	backend/test_expert_review_fixes.py
173	0	backend/test_expert_review_integration.py
281	0	backend/test_output.txt
280	0	backend/test_phase_b_validation.py
0	20	backend/unmap_all_sensors.py
1035	752	backend/uv.lock
34	0	bundle_api_routes.txt
11	0	bundle_config_infra.txt
20	0	bundle_crud_logic.txt
27	0	bundle_models_core.txt
11	0	bundle_tests.txt
1	1	development.md
1	1	docker-compose.yml
21	0	expert_review_files.txt
1705	0	expert_review_implementation_complete.txt
0	0	firmware/components/verdify/CMakeLists.txt
0	0	firmware/components/verdify/api_client.cpp
0	0	firmware/components/verdify/api_client.h
0	0	firmware/components/verdify/buttons.cpp
0	0	firmware/components/verdify/buttons.h
0	0	firmware/components/verdify/config_model.cpp
0	0	firmware/components/verdify/config_model.h
0	0	firmware/components/verdify/fan_rotation.cpp
0	0	firmware/components/verdify/fan_rotation.h
0	0	firmware/components/verdify/math_climate.cpp
0	0	firmware/components/verdify/math_climate.h
0	0	firmware/components/verdify/plan_model.cpp
0	0	firmware/components/verdify/plan_model.h
0	0	firmware/components/verdify/relay_supervisor.cpp
0	0	firmware/components/verdify/relay_supervisor.h
0	0	firmware/components/verdify/rules_engine.cpp
0	0	firmware/components/verdify/rules_engine.h
0	0	firmware/components/verdify/scheduler.cpp
0	0	firmware/components/verdify/scheduler.h
0	0	firmware/components/verdify/sensors_modbus.cpp
0	0	firmware/components/verdify/sensors_modbus.h
0	0	firmware/components/verdify/storage_fs.cpp
0	0	firmware/components/verdify/storage_fs.h
0	0	firmware/components/verdify/storage_nvs.cpp
0	0	firmware/components/verdify/storage_nvs.h
0	0	firmware/components/verdify/telemetry.cpp
0	0	firmware/components/verdify/telemetry.h
0	0	firmware/components/verdify/utils/backoff.h
0	0	firmware/components/verdify/utils/clock.h
0	0	firmware/components/verdify/utils/json.h
0	0	firmware/components/verdify/utils/log.h
0	0	firmware/components/verdify/utils/ring_buffer.h
0	0	firmware/components/verdify/utils/types.h
0	0	firmware/components/verdify/verdify_controller.cpp
0	0	firmware/components/verdify/verdify_controller.h
1170	0	firmware/docs/CONTROLLER.md
2338	0	firmware/docs/DATABASE.md
0	0	firmware/docs/GAPS.md
0	0	firmware/docs/README.md
753	157	requirements/openapi.yml.backup => firmware/docs/openapi.yml
0	0	firmware/esphome/packages/board.a16s.yaml
0	0	firmware/esphome/packages/buttons.yaml
0	0	firmware/esphome/packages/http.yaml
0	0	firmware/esphome/packages/intervals.yaml
0	0	firmware/esphome/packages/net.yaml
0	0	firmware/esphome/packages/time.yaml
0	0	firmware/esphome/packages/webdiag.yaml
0	0	firmware/esphome/secrets.example.yaml
0	0	firmware/esphome/verdify-a16s.dev.yaml
0	0	firmware/esphome/verdify-a16s.prod.yaml
0	0	firmware/esphome/verdify-a16s.sim.yaml
0	0	firmware/tests/native/CMakeLists.txt
0	0	firmware/tests/native/fixtures/config.sample.json
0	0	firmware/tests/native/fixtures/plan.sample.json
0	0	firmware/tests/native/test_math_climate.cpp
0	0	firmware/tests/native/test_relay_supervisor.cpp
0	0	firmware/tests/native/test_rules_engine.cpp
0	0	firmware/tests/native/test_scheduler.cpp
0	0	firmware/tools/gen_claim_code.py
0	0	firmware/tools/validate_config.py
1	1	frontend/.gitignore
1	1	frontend/src/assets/images/leaf.svg
1	1	frontend/src/assets/images/logo.svg
1	1	frontend/src/assets/images/verdify-logo.svg
16	16	frontend/src/components/Crops/AddObservation.tsx
11	11	frontend/src/components/Crops/CropDetails.tsx
2	2	frontend/src/components/Crops/CropHeader.tsx
10	10	frontend/src/components/Crops/PlantCrop.tsx
23	23	frontend/src/components/Crops/ViewObservations.tsx
2	2	frontend/src/components/Greenhouses/GHSidebarItems.tsx
2	2	frontend/src/components/Sensors/AddSensor.tsx
0	1	frontend/src/components/UserSettings/Appearance.tsx
2	2	frontend/src/components/Zones/AddZone.tsx
24	24	frontend/src/components/Zones/ViewPastCrops.tsx
17	17	frontend/src/components/Zones/ZoneSettings.tsx
1	1	frontend/src/components/shared/EnvironmentalGrid.tsx
6	6	frontend/src/components/shared/MetricCard.tsx
8	8	frontend/src/hooks/useCropStageData.ts
1	1	frontend/src/routes/_layout/greenhouses.tsx
5	5	frontend/src/routes/greenhouses/$greenhouseId.tsx
12	12	frontend/src/routes/greenhouses/$greenhouseId/controller.tsx
1	1	frontend/src/routes/greenhouses/$greenhouseId/graphs.tsx
1	1	frontend/src/routes/greenhouses/$greenhouseId/settings.tsx
32	32	frontend/src/routes/greenhouses/$greenhouseId/zones.tsx
1	1	frontend/src/types/cropRecipe.ts
1	1	frontend/tests/login.spec.ts
0	1	frontend/tsconfig.json
108	0	migration_skeleton_crops_naming.py
165	0	migration_skeleton_schema_parity_v1.py
26	0	phase_b_files.txt
2654	0	phase_b_rbac_implementation_bundle.txt
0	10069	project_dump_20250813_172459.md
0	9901	project_dump_20250813_172725.md
0	9735	project_dump_20250813_173030.md
0	553	release-notes.md
44	44	requirements/API.md
9	9	requirements/AUTHENTICATION.md
3	3	requirements/CONFIGURATION.md
19	19	requirements/CONTROLLER.md
52	52	requirements/DATABASE.md
2	2	requirements/FORMATTING_STANDARDS.md
0	457	requirements/MIGRATION_P0_SECURITY_FIXES.sql
25	25	requirements/PLANNER.md
632	42	requirements/openapi.yml
0	143	requirements_old/AUTHENTICATION_OLD.md
0	160	requirements_old/GAPS.md
0	384	requirements_old/GAPS_NEW.md
0	121	requirements_old/GAPS_OLD.md
0	104	requirements_old/OVERVIEW_NEW.md
0	163	requirements_old/OVERVIEW_OLD.md
0	1174	requirements_old/PLANNER.md.backup
0	234	requirements_old/SECURITY_FIXES_SUMMARY.md
20	0	schema_parity_changed_files.txt
367	479	scripts/dump.sh
0	2897	temp_openapi.yaml
1	0	verdify-docs/.obsidian/app.json
1	0	verdify-docs/.obsidian/appearance.json
33	0	verdify-docs/.obsidian/core-plugins.json
173	0	verdify-docs/.obsidian/workspace.json
0	0	verdify-docs/Test note.md
93	0	verdify_accurate_bundle_files.txt
66	0	verdify_bundle_files.txt
